ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,condition,gate_mode,clutter_mode,gate_sep_m,trial,gate_sep_sweep
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.21,4,0.21
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.21,5,0.21
True,False,0.001022416996420361,2,0.0007516670011682436,all_vhacd,vhacd,vhacd,0.21,6,0.21
True,True,0.006715999988955446,22,0.005881124990992248,all_vhacd,vhacd,vhacd,0.21,7,0.21
True,True,0.0068710000050487,22,0.006036375954863615,all_vhacd,vhacd,vhacd,0.21,8,0.21
True,True,0.0061312500038184226,22,0.005302704928908497,all_vhacd,vhacd,vhacd,0.21,9,0.21
True,True,0.10245762500562705,314,0.07492887675471138,all_vhacd,vhacd,vhacd,0.21,10,0.21
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.21,11,0.21
True,True,0.006126792010036297,22,0.0053426690137712285,all_vhacd,vhacd,vhacd,0.21,12,0.21
True,True,0.06616983300773427,201,0.04812462798145134,all_vhacd,vhacd,vhacd,0.21,13,0.21
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.21,14,0.21
True,False,0.0010170829918934032,2,0.000752124993596226,all_vhacd,vhacd,vhacd,0.21,15,0.21
True,False,0.0009149160032393411,2,0.0006492930115200579,all_vhacd,vhacd,vhacd,0.21,16,0.21
True,True,0.009363791003124788,32,0.008266746968729421,all_vhacd,vhacd,vhacd,0.21,17,0.21
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.21,18,0.21
True,True,0.006595833008759655,22,0.00575229202513583,all_vhacd,vhacd,vhacd,0.21,19,0.21
False,False,0.0,0,0.0,all_box,box,box,0.21,0,0.21
True,False,0.0008606249903095886,2,0.0005895410140510648,all_box,box,box,0.21,1,0.21
True,True,0.006679458994767629,22,0.005877501011127606,all_box,box,box,0.21,2,0.21
False,False,0.0,0,0.0,all_box,box,box,0.21,3,0.21
False,False,0.0,0,0.0,all_box,box,box,0.21,4,0.21
False,False,0.0,0,0.0,all_box,box,box,0.21,5,0.21
True,False,0.0009389170008944348,2,0.0006682509992970154,all_box,box,box,0.21,6,0.21
True,True,0.006924957997398451,22,0.0060251670074649155,all_box,box,box,0.21,7,0.21
True,True,0.006390499998815358,22,0.005587499981629662,all_box,box,box,0.21,8,0.21
True,True,0.006835541003965773,22,0.00596083200071007,all_box,box,box,0.21,9,0.21
True,True,0.10639337499742396,312,0.07947550299286377,all_box,box,box,0.21,10,0.21
False,False,0.0,0,0.0,all_box,box,box,0.21,11,0.21
True,True,0.006066374990041368,22,0.005278332973830402,all_box,box,box,0.21,12,0.21
True,True,0.06936920799489599,196,0.05023840698413551,all_box,box,box,0.21,13,0.21
False,False,0.0,0,0.0,all_box,box,box,0.21,14,0.21
True,False,0.0009950000094249845,2,0.0007167089934227988,all_box,box,box,0.21,15,0.21
True,False,0.0009556669974699616,2,0.0007016670133452863,all_box,box,box,0.21,16,0.21
True,True,0.009139499990851618,32,0.008019788001547568,all_box,box,box,0.21,17,0.21
False,False,0.0,0,0.0,all_box,box,box,0.21,18,0.21
True,True,0.00647154200123623,22,0.005650205974234268,all_box,box,box,0.21,19,0.21
